H1,H2,NOTA
0.834,0.585,4.50000
0.92,0.751,4.21429
0.751,0.9,4.14286
0.668,0.335,4.07143
0.751,0.668,4.07143
0.501,0.418,4.00000
0.668,0.585,4.00000
0.751,0.585,4.00000
0.834,0.668,3.92857
0.92,0.335,3.78571
0.834,0.335,3.78571
0.751,0.501,3.71429
0.92,0.834,3.64286
0.834,0.9,3.64286
0.585,0.335,3.64286
0.168,0.9,3.57143
0.501,0.335,3.57143
0.92,0.668,3.50000
0.751,0.251,3.50000
0.751,0.335,3.50000
0.834,0.501,3.42857
0.168,0.085,3.42857
0.751,0.168,3.42857
0.668,0.168,3.42857
0.668,0.085,3.42857
0.751,0.418,3.35714
0.335,0.9,3.35714
0.834,0.751,3.35714
0.585,0.9,3.28571
0.251,0.9,3.28571
0.335,0.251,3.28571
0.251,0.168,3.28571
0.585,0.168,3.21429
0.668,0.9,3.21429
0.668,0.251,3.21429
0.92,0.585,3.14286
0.251,0.085,3.14286
0.668,0.418,3.07143
0.92,0.9,3.07143
0.751,0.085,3.07143
0.335,0.085,3.00000
0.668,0.501,2.92857
0.834,0.418,2.92857
0.834,0.085,2.92857
0.501,0.9,2.92857
0.834,0.168,2.85714
0.834,0.251,2.85714
0.085,0.9,2.78571
0.585,0.085,2.78571
0.585,0.418,2.71429
0.92,0.501,2.71429
0.585,0.251,2.71429
0.335,0.168,2.64286
0.92,0.168,2.64286
0.92,0.418,2.57143
0.585,0.501,2.57143
0.418,0.335,2.50000
0.501,0.251,2.50000
0.501,0.085,2.35714
0.92,0.251,2.35714
0.418,0.9,2.35714
0.501,0.168,2.28571
0.418,0.251,2.28571
0.92,0.085,2.14286
0.418,0.085,2.07143
0.418,0.168,1.92857